Ano;TeamCity;Pontos Totais;Jogador;Pontos;Pontos Restantes;;Porcentagem;;;
2019;Milwaukee (Bucks);7.746;Giannis Antetokounmpo;1.698;6.048;;22;22%;;
2019;Dallas (Mavericks);7.651;Luka Doncic;1.455;6.196;;19;19%;;
2019;Houston (Rockets);7.624;James Harden;2.132;5.492;;28;28%;;
2019;New Orleans (Pelicans);7.577;Brandon Ingram;1352;6.225;;18;18%;;
2019;Atlanta (Hawks);7.390;Trae Young;1.754;5.636;;24;24%;;
2019;Los Angeles (Lakers);7.374;LeBron James;1.487;5.887;;20;20%;;
2019;Miami (Heat);7.342;Jimmy Butler;1066;6.276;;15;15%;;
2019;Portland (Trail Blazers);7.338;Damian Lillard;1.642;5.696;;22;22%;;
2019;Phoenix (Suns);7.265;Devin Booker;1.550;5.715;;21;21%;;
2019;Washington (Wizards);7.250;Bradley Beal;1.639;5.611;;23;23%;;
